P1344	participant of
P2852	emergency phone number
P417	patron saint
P17	country
P1552	has quality
P793	significant event
P530	diplomatic relation
P194	legislative body
P2184	history of topic
P36	capital
P35	head of state
P5008	on focus list of Wikimedia project
P6	head of government
P463	member of
P1830	owner of
P2238	official symbol
P85	anthem
P361	part of
P47	shares border with
P610	highest point
P421	located in time zone
P150	contains administrative territorial entity
P138	named after
P1343	described by source
P92	main regulatory text
P527	has part
P1304	central bank
P20	place of death
P26	spouse
P22	father
P25	mother
P27	country of citizenship
P119	place of burial
P735	given name
P241	military branch
P607	conflict
P734	family name
P3373	sibling
P551	residence
P1038	relative
P19	place of birth
P485	archives at
P40	child
P108	employer
P69	educated at
P451	partner
P166	award received
P1441	present in work
P175	performer
P800	notable work
P1411	nominated for
P112	founded by
P137	operator
P127	owned by
P178	developer
P408	software engine
P170	creator
P277	programming language
P859	sponsor
P155	follows
P1589	lowest point
P706	located on terrain feature
P61	discoverer or inventor
P131	located in the administrative territorial entity
P86	composer
P676	lyrics by
P937	work location
P1853	blood type
P460	said to be the same as
P1365	replaces
P206	located in or next to body of water
P190	twinned administrative body
P1376	capital of
P1066	student of
P6379	has works in the collection
P30	continent
P598	commander of
P50	author
P123	publisher
P495	country of origin
P1366	replaced by
P737	influenced by
P6872	has written for
P1640	curator
P2846	wheelchair accessibility
P397	parent astronomical body
P4777	has boundary
P559	terminus
P156	followed by
P57	director
P58	screenwriter
P272	production company
P161	cast member
P162	producer
P840	narrative location
P915	filming location
P1040	film editor
P750	distributor
P1981	FSK film rating
P2747	Filmiroda rating
P3650	JMK film rating
P1657	MPAA film rating
P2758	CNC film rating (France)
P5970	Medierådet rating
P3402	CNC film rating (Romania)
P802	student
P184	doctoral advisor
P185	doctoral student
P264	record label
P1889	different from
P6275	copyright representative
P403	mouth of the watercourse
P974	tributary
P4614	drainage basin
P461	opposite of
P39	position held
P1383	contains settlement
P102	member of political party
P2936	language used
P172	ethnic group
P208	executive body
P84	architect
P1416	affiliation
P885	origin of the watercourse
P945	allegiance
P4552	mountain range
P157	killed by
P2348	time period
P205	basin country
P708	diocese
P825	dedicated to
P797	authority
P1879	income classification (Philippines)
P500	exclave of
P54	member of sports team
P118	league
P1532	country for sport
P832	public holiday
P81	connecting line
P197	adjacent station
P1192	connecting service
P115	home venue
P286	head coach
P159	headquarters location
P355	subsidiary
P1080	from fictional universe
P7047	enemy of
P144	based on
P344	director of photography
P908	PEGI rating
P179	part of the series
P852	ESRB rating
P501	enclave within
P276	location
P710	participant
P53	family
P177	crosses
P2505	carries
P1336	territory claimed by
P3403	coextensive with
P2614	World Heritage criteria
P740	location of formation
P2363	NMHH film rating
P488	chairperson
P4908	season
P3450	sports season of league or competition
P664	organizer
P1346	winner
P414	stock exchange
P749	parent organization
P971	category combines topics
P1303	instrument
P135	movement
P1290	godparent
P1299	depicted by
P410	military rank
P1596	penalty
P449	original broadcaster
P674	characters
P3975	secretary general
P2541	operating area
P3342	significant person
P4379	youth wing
P2632	place of detention
P140	religion
P169	chief executive officer
P199	business division
P543	oath made by
P542	officially opened by
P545	torch lit by
P466	occupant
P1382	partially coincident with
P931	place served by transport hub
P512	academic degree
P3320	board member
P609	terminus location
P1340	eye color
P611	religious order
P6087	coach of sports team
P291	place of publication
P5769	editor-in-chief
P98	editor
P1018	language regulatory body
P831	parent club
P1687	Wikidata property
P306	operating system
P747	has edition
